"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042113","B cell activation","10/100","238/18842",0.0420168067226891,7.91680672268908,7.84395261444401,5.48247032741949e-07,0.00104057286814422,0.000953949836970991,"ENSG00000117461/ENSG00000130303/ENSG00000184995/ENSG00000102524/ENSG00000162511/ENSG00000125730/ENSG00000105246/ENSG00000243649/ENSG00000117586/ENSG00000007312",10
"GO:0030098","lymphocyte differentiation","11/100","356/18842",0.0308988764044944,5.82196629213483,6.70921489959637,2.96400332768689e-06,0.00281283915797486,0.0025786828950876,"ENSG00000117461/ENSG00000164690/ENSG00000102524/ENSG00000182866/ENSG00000214279/ENSG00000162511/ENSG00000243649/ENSG00000101665/ENSG00000116678/ENSG00000117586/ENSG00000007312",11
"GO:1903131","mononuclear cell differentiation","11/100","439/18842",0.0250569476082005,4.72123006833713,5.76260002215249,2.13109291592951e-05,0.012159539562884,0.0111473123495354,"ENSG00000117461/ENSG00000164690/ENSG00000102524/ENSG00000182866/ENSG00000214279/ENSG00000162511/ENSG00000243649/ENSG00000101665/ENSG00000116678/ENSG00000117586/ENSG00000007312",11
"GO:0070663","regulation of leukocyte proliferation","8/100","224/18842",0.0357142857142857,6.72928571428571,6.3008912625909,2.56260054012308e-05,0.012159539562884,0.0111473123495354,"ENSG00000028137/ENSG00000130303/ENSG00000164690/ENSG00000102524/ENSG00000162511/ENSG00000105246/ENSG00000128791/ENSG00000117586",8
"GO:0070661","leukocyte proliferation","8/100","261/18842",0.0306513409961686,5.77532567049808,5.67456683141841,7.55032999258508e-05,0.0257760859308377,0.0236303422126752,"ENSG00000028137/ENSG00000130303/ENSG00000164690/ENSG00000102524/ENSG00000162511/ENSG00000105246/ENSG00000128791/ENSG00000117586",8
"GO:0050670","regulation of lymphocyte proliferation","7/100","198/18842",0.0353535353535354,6.66131313131313,5.84957391002353,8.92759887105409e-05,0.0257760859308377,0.0236303422126752,"ENSG00000028137/ENSG00000164690/ENSG00000102524/ENSG00000162511/ENSG00000105246/ENSG00000128791/ENSG00000117586",7
"GO:0032944","regulation of mononuclear cell proliferation","7/100","200/18842",0.035,6.5947,5.81017960680747,9.50645951084635e-05,0.0257760859308377,0.0236303422126752,"ENSG00000028137/ENSG00000164690/ENSG00000102524/ENSG00000162511/ENSG00000105246/ENSG00000128791/ENSG00000117586",7
"GO:0042129","regulation of T cell proliferation","6/100","148/18842",0.0405405405405405,7.63864864864865,5.92247765301265,0.000137848669407227,0.0301408711423129,0.0276317786025419,"ENSG00000028137/ENSG00000164690/ENSG00000162511/ENSG00000105246/ENSG00000128791/ENSG00000117586",6
"GO:0002367","cytokine production involved in immune response","5/100","96/18842",0.0520833333333333,9.81354166666667,6.3237658391827,0.000158803325301965,0.0301408711423129,0.0276317786025419,"ENSG00000028137/ENSG00000130303/ENSG00000162511/ENSG00000101665/ENSG00000117586",5
"GO:0002718","regulation of cytokine production involved in immune response","5/100","96/18842",0.0520833333333333,9.81354166666667,6.3237658391827,0.000158803325301965,0.0301408711423129,0.0276317786025419,"ENSG00000028137/ENSG00000130303/ENSG00000162511/ENSG00000101665/ENSG00000117586",5
"GO:0046634","regulation of alpha-beta T cell activation","5/100","100/18842",0.05,9.421,6.16736580634169,0.000192357479681565,0.030557460416282,0.0280136886851057,"ENSG00000164690/ENSG00000105246/ENSG00000128791/ENSG00000101665/ENSG00000117586",5
"GO:0046651","lymphocyte proliferation","7/100","227/18842",0.0308370044052863,5.81030837004405,5.32596532383538,0.000207997452188615,0.030557460416282,0.0280136886851057,"ENSG00000028137/ENSG00000164690/ENSG00000102524/ENSG00000162511/ENSG00000105246/ENSG00000128791/ENSG00000117586",7
"GO:0032943","mononuclear cell proliferation","7/100","230/18842",0.0304347826086957,5.73452173913044,5.27700516312554,0.000225372824480082,0.030557460416282,0.0280136886851057,"ENSG00000028137/ENSG00000164690/ENSG00000102524/ENSG00000162511/ENSG00000105246/ENSG00000128791/ENSG00000117586",7
"GO:0042098","T cell proliferation","6/100","162/18842",0.037037037037037,6.97851851851852,5.58221626925492,0.000225397495167517,0.030557460416282,0.0280136886851057,"ENSG00000028137/ENSG00000164690/ENSG00000162511/ENSG00000105246/ENSG00000128791/ENSG00000117586",6
"GO:0007159","leukocyte cell-cell adhesion","9/100","402/18842",0.0223880597014925,4.21835820895522,4.76443006370841,0.000287814248709928,0.0364180962700962,0.0333864528503516,"ENSG00000164690/ENSG00000182866/ENSG00000171236/ENSG00000162511/ENSG00000105246/ENSG00000102908/ENSG00000128791/ENSG00000101665/ENSG00000117586",9
"GO:0030183","B cell differentiation","5/100","114/18842",0.043859649122807,8.2640350877193,5.68235898087272,0.000353775414225741,0.0419666085125285,0.0384730762970493,"ENSG00000117461/ENSG00000102524/ENSG00000162511/ENSG00000243649/ENSG00000007312",5
"GO:0046631","alpha-beta T cell activation","6/100","183/18842",0.0327868852459016,6.17770491803279,5.14117830845519,0.000433028200153638,0.0457834571959275,0.041972189420924,"ENSG00000164690/ENSG00000182866/ENSG00000105246/ENSG00000128791/ENSG00000101665/ENSG00000117586",6
"GO:0050863","regulation of T cell activation","8/100","346/18842",0.023121387283237,4.35653179190751,4.60292516431773,0.000511857285144993,0.0457834571959275,0.041972189420924,"ENSG00000028137/ENSG00000164690/ENSG00000182866/ENSG00000162511/ENSG00000105246/ENSG00000128791/ENSG00000101665/ENSG00000117586",8
"GO:0002456","T cell mediated immunity","5/100","124/18842",0.0403225806451613,7.59758064516129,5.38405932558518,0.000520409062961313,0.0457834571959275,0.041972189420924,"ENSG00000028137/ENSG00000160862/ENSG00000214279/ENSG00000101665/ENSG00000117586",5
"GO:0002697","regulation of immune effector process","8/100","347/18842",0.0230547550432277,4.34397694524496,4.5924543937545,0.000521673690749637,0.0457834571959275,0.041972189420924,"ENSG00000028137/ENSG00000130303/ENSG00000160862/ENSG00000162511/ENSG00000125730/ENSG00000243649/ENSG00000101665/ENSG00000117586",8
"GO:0030217","T cell differentiation","7/100","265/18842",0.0264150943396226,4.9771320754717,4.76265549404039,0.000529079952020195,0.0457834571959275,0.041972189420924,"ENSG00000117461/ENSG00000164690/ENSG00000182866/ENSG00000214279/ENSG00000101665/ENSG00000116678/ENSG00000117586",7
"GO:2000515","negative regulation of CD4-positive, alpha-beta T cell activation","3/100","30/18842",0.1,18.842,7.14382299535601,0.000530682854747315,0.0457834571959275,0.041972189420924,"ENSG00000128791/ENSG00000101665/ENSG00000117586",3
"GO:0046640","regulation of alpha-beta T cell proliferation","3/100","31/18842",0.0967741935483871,18.2341935483871,7.01471255083474,0.000585286292207602,0.0482988427221752,0.0442781803670099,"ENSG00000105246/ENSG00000128791/ENSG00000117586",3
"GO:1903037","regulation of leukocyte cell-cell adhesion","8/100","359/18842",0.0222841225626741,4.19877437325905,4.46980532524009,0.000651859616902703,0.0495570970547791,0.0454316906613887,"ENSG00000164690/ENSG00000182866/ENSG00000162511/ENSG00000105246/ENSG00000102908/ENSG00000128791/ENSG00000101665/ENSG00000117586",8
"GO:0050866","negative regulation of cell activation","6/100","198/18842",0.0303030303030303,5.70969696969697,4.86631279334768,0.000655981857120398,0.0495570970547791,0.0454316906613887,"ENSG00000185532/ENSG00000162511/ENSG00000105383/ENSG00000128791/ENSG00000101665/ENSG00000117586",6
"GO:0051249","regulation of lymphocyte activation","9/100","453/18842",0.0198675496688742,3.74344370860927,4.31727890793679,0.00068241922256528,0.0495570970547791,0.0454316906613887,"ENSG00000028137/ENSG00000164690/ENSG00000102524/ENSG00000182866/ENSG00000162511/ENSG00000105246/ENSG00000128791/ENSG00000101665/ENSG00000117586",9
